trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
R001_D0_T14,06:21:00,06:23:00,S002,3,0,0
R001_D0_T15,06:05:00,06:07:00,S001,1,0,0
R001_D0_T15,06:13:00,06:15:00,S003,2,0,0
R001_D0_T15,06:21:00,06:23:00,S002,3,0,0
R001_D0_T16,06:05:00,06:07:00,S001,1,0,0
R001_D0_T16,06:13:00,06:15:00,S003,2,0,0
R001_D0_T16,06:21:00,06:23:00,S002,3,0,0
R001_D0_T17,06:05:00,06:07:00,S001,1,0,0
R001_D0_T17,06:13:00,06:15:00,S003,2,0,0
R001_D0_T17,06:21:00,06:23:00,S002,3,0,0
R001_D0_T18,06:05:00,06:07:00,S001,1,0,0
R001_D0_T18,06:13:00,06:15:00,S003,2,0,0
R001_D0_T18,06:21:00,06:23:00,S002,3,0,0
R001_D0_T19,06:05:00,06:07:00,S001,1,0,0
R001_D0_T19,06:13:00,06:15:00,S003,2,0,0
R001_D0_T19,06:21:00,06:23:00,S002,3,0,0
R001_D0_T20,06:05:00,06:07:00,S001,1,0,0
R001_D0_T20,06:13:00,06:15:00,S003,2,0,0
R001_D0_T20,06:21:00,06:23:00,S002,3,0,0
R001_D1_T01,06:05:00,06:07:00,S001,1,0,0
R001_D1_T01,06:13:00,06:15:00,S003,2,0,0
R001_D1_T01,06:21:00,06:23:00,S002,3,0,0
R001_D1_T02,06:05:00,06:07:00,S001,1,0,0
R001_D1_T02,06:13:00,06:15:00,S003,2,0,0
R001_D1_T02,06:21:00,06:23:00,S002,3,0,0
R001_D1_T03,06:05:00,06:07:00,S001,1,0,0
R001_D1_T03,06:13:00,06:15:00,S003,2,0,0
R001_D1_T03,06:21:00,06:23:00,S002,3,0,0
R001_D1_T04,06:05:00,06:07:00,S001,1,0,0
R001_D1_T04,06:13:00,06:15:00,S003,2,0,0
R001_D1_T04,06:21:00,06:23:00,S002,3,0,0
R001_D1_T05,06:05:00,06:07:00,S001,1,0,0
R001_D1_T05,06:13:00,06:15:00,S003,2,0,0
R001_D1_T05,06:21:00,06:23:00,S002,3,0,0
R001_D1_T06,06:05:00,06:07:00,S001,1,0,0
R001_D1_T06,06:13:00,06:15:00,S003,2,0,0
R001_D1_T06,06:21:00,06:23:00,S002,3,0,0
R001_D1_T07,06:05:00,06:07:00,S001,1,0,0
R001_D1_T07,06:13:00,06:15:00,S003,2,0,0
R001_D1_T07,06:21:00,06:23:00,S002,3,0,0
R001_D1_T08,06:05:00,06:07:00,S001,1,0,0
R001_D1_T08,06:13:00,06:15:00,S003,2,0,0
R001_D1_T08,06:21:00,06:23:00,S002,3,0,0
R001_D1_T09,06:05:00,06:07:00,S001,1,0,0
R001_D1_T09,06:13:00,06:15:00,S003,2,0,0
R001_D1_T09,06:21:00,06:23:00,S002,3,0,0
R001_D1_T10,06:05:00,06:07:00,S001,1,0,0
R001_D1_T10,06:13:00,06:15:00,S003,2,0,0
R001_D1_T10,06:21:00,06:23:00,S002,3,0,0
R001_D1_T11,06:05:00,06:07:00,S001,1,0,0
R001_D1_T11,06:13:00,06:15:00,S003,2,0,0
R001_D1_T11,06:21:00,06:23:00,S002,3,0,0
R001_D1_T12,06:05:00,06:07:00,S001,1,0,0
R001_D1_T12,06:13:00,06:15:00,S003,2,0,0
R001_D1_T12,06:21:00,06:23:00,S002,3,0,0
R001_D1_T13,06:05:00,06:07:00,S001,1,0,0
R001_D1_T13,06:13:00,06:15:00,S003,2,0,0
R001_D1_T13,06:21:00,06:23:00,S002,3,0,0
R001_D1_T14,06:05:00,06:07:00,S001,1,0,0
R001_D1_T14,06:13:00,06:15:00,S003,2,0,0
R001_D1_T14,06:21:00,06:23:00,S002,3,0,0
R001_D1_T15,06:05:00,06:07:00,S001,1,0,0
R001_D1_T15,06:13:00,06:15:00,S003,2,0,0
R001_D1_T15,06:21:00,06:23:00,S002,3,0,0
R001_D1_T16,06:05:00,06:07:00,S001,1,0,0
R001_D1_T16,06:13:00,06:15:00,S003,2,0,0
R001_D1_T16,06:21:00,06:23:00,S002,3,0,0
R001_D1_T17,06:05:00,06:07:00,S001,1,0,0
R001_D1_T17,06:13:00,06:15:00,S003,2,0,0
R001_D1_T17,06:21:00,06:23:00,S002,3,0,0
R001_D1_T18,06:05:00,06:07:00,S001,1,0,0
R001_D1_T18,06:13:00,06:15:00,S003,2,0,0
R001_D1_T18,06:21:00,06:23:00,S002,3,0,0
R001_D1_T19,06:05:00,06:07:00,S001,1,0,0
R001_D1_T19,06:13:00,06:15:00,S003,2,0,0
R001_D1_T19,06:21:00,06:23:00,S002,3,0,0
R001_D1_T20,06:05:00,06:07:00,S001,1,0,0
R001_D1_T20,06:13:00,06:15:00,S003,2,0,0
R001_D1_T20,06:21:00,06:23:00,S002,3,0,0
R002_D0_T01,06:05:00,06:07:00,S004,1,0,0
R002_D0_T01,06:13:00,06:15:00,S005,2,0,0
R002_D0_T02,06:05:00,06:07:00,S004,1,0,0
R002_D0_T02,06:13:00,06:15:00,S005,2,0,0
R002_D0_T03,06:05:00,06:07:00,S004,1,0,0
R002_D0_T03,06:13:00,06:15:00,S005,2,0,0
R002_D0_T04,06:05:00,06:07:00,S004,1,0,0
R002_D0_T04,06:13:00,06:15:00,S005,2,0,0
R002_D0_T05,06:05:00,06:07:00,S004,1,0,0
R002_D0_T05,06:13:00,06:15:00,S005,2,0,0
R002_D0_T06,06:05:00,06:07:00,S004,1,0,0
R002_D0_T06,06:13:00,06:15:00,S005,2,0,0
R002_D0_T07,06:05:00,06:07:00,S004,1,0,0
R002_D0_T07,06:13:00,06:15:00,S005,2,0,0
R002_D0_T08,06:05:00,06:07:00,S004,1,0,0
R002_D0_T08,06:13:00,06:15:00,S005,2,0,0
R002_D0_T09,06:05:00,06:07:00,S004,1,0,0
R002_D0_T09,06:13:00,06:15:00,S005,2,0,0
R002_D0_T10,06:05:00,06:07:00,S004,1,0,0
R002_D0_T10,06:13:00,06:15:00,S005,2,0,0
R002_D0_T11,06:05:00,06:07:00,S004,1,0,0
R002_D0_T11,06:13:00,06:15:00,S005,2,0,0
R002_D0_T12,06:05:00,06:07:00,S004,1,0,0
R002_D0_T12,06:13:00,06:15:00,S005,2,0,0
R002_D0_T13,06:05:00,06:07:00,S004,1,0,0
R002_D0_T13,06:13:00,06:15:00,S005,2,0,0
R002_D0_T14,06:05:00,06:07:00,S004,1,0,0
R002_D0_T14,06:13:00,06:15:00,S005,2,0,0
R002_D0_T15,06:05:00,06:07:00,S004,1,0,0
R002_D0_T15,06:13:00,06:15:00,S005,2,0,0
R002_D0_T16,06:05:00,06:07:00,S004,1,0,0
R002_D0_T16,06:13:00,06:15:00,S005,2,0,0
R002_D0_T17,06:05:00,06:07:00,S004,1,0,0
R002_D0_T17,06:13:00,06:15:00,S005,2,0,0
R002_D0_T18,06:05:00,06:07:00,S004,1,0,0
R002_D0_T18,06:13:00,06:15:00,S005,2,0,0
R002_D0_T19,06:05:00,06:07:00,S004,1,0,0
R002_D0_T19,06:13:00,06:15:00,S005,2,0,0
R002_D0_T20,06:05:00,06:07:00,S004,1,0,0
R002_D0_T20,06:13:00,06:15:00,S005,2,0,0
R002_D1_T01,06:05:00,06:07:00,S004,1,0,0
R002_D1_T01,06:13:00,06:15:00,S005,2,0,0
R002_D1_T02,06:05:00,06:07:00,S004,1,0,0
R002_D1_T02,06:13:00,06:15:00,S005,2,0,0
R002_D1_T03,06:05:00,06:07:00,S004,1,0,0
R002_D1_T03,06:13:00,06:15:00,S005,2,0,0
R002_D1_T04,06:05:00,06:07:00,S004,1,0,0
R002_D1_T04,06:13:00,06:15:00,S005,2,0,0
R002_D1_T05,06:05:00,06:07:00,S004,1,0,0
R002_D1_T05,06:13:00,06:15:00,S005,2,0,0
R002_D1_T06,06:05:00,06:07:00,S004,1,0,0
R002_D1_T06,06:13:00,06:15:00,S005,2,0,0
R002_D1_T07,06:05:00,06:07:00,S004,1,0,0
R002_D1_T07,06:13:00,06:15:00,S005,2,0,0
R002_D1_T08,06:05:00,06:07:00,S004,1,0,0
R002_D1_T08,06:13:00,06:15:00,S005,2,0,0
R002_D1_T09,06:05:00,06:07:00,S004,1,0,0
R002_D1_T09,06:13:00,06:15:00,S005,2,0,0
R002_D1_T10,06:05:00,06:07:00,S004,1,0,0
R002_D1_T10,06:13:00,06:15:00,S005,2,0,0
R002_D1_T11,06:05:00,06:07:00,S004,1,0,0
R002_D1_T11,06:13:00,06:15:00,S005,2,0,0
R002_D1_T12,06:05:00,06:07:00,S004,1,0,0
R002_D1_T12,06:13:00,06:15:00,S005,2,0,0
R002_D1_T13,06:05:00,06:07:00,S004,1,0,0
R002_D1_T13,06:13:00,06:15:00,S005,2,0,0
R002_D1_T14,06:05:00,06:07:00,S004,1,0,0
R002_D1_T14,06:13:00,06:15:00,S005,2,0,0
R002_D1_T15,06:05:00,06:07:00,S004,1,0,0
R002_D1_T15,06:13:00,06:15:00,S005,2,0,0
R002_D1_T16,06:05:00,06:07:00,S004,1,0,0
R002_D1_T16,06:13:00,06:15:00,S005,2,0,0
R002_D1_T17,06:05:00,06:07:00,S004,1,0,0
R002_D1_T17,06:13:00,06:15:00,S005,2,0,0
R002_D1_T18,06:05:00,06:07:00,S004,1,0,0
R002_D1_T18,06:13:00,06:15:00,S005,2,0,0
R002_D1_T19,06:05:00,06:07:00,S004,1,0,0
R002_D1_T19,06:13:00,06:15:00,S005,2,0,0
R002_D1_T20,06:05:00,06:07:00,S004,1,0,0
R002_D1_T20,06:13:00,06:15:00,S005,2,0,0
R003_D0_T01,06:05:00,06:07:00,S006,1,0,0
R003_D0_T01,06:13:00,06:15:00,S001,2,0,0
R003_D0_T02,06:05:00,06:07:00,S006,1,0,0
R003_D0_T02,06:13:00,06:15:00,S001,2,0,0
R003_D0_T03,06:05:00,06:07:00,S006,1,0,0
R003_D0_T03,06:13:00,06:15:00,S001,2,0,0
R003_D0_T04,06:05:00,06:07:00,S006,1,0,0
R003_D0_T04,06:13:00,06:15:00,S001,2,0,0
R003_D0_T05,06:05:00,06:07:00,S006,1,0,0
R003_D0_T05,06:13:00,06:15:00,S001,2,0,0
R003_D0_T06,06:05:00,06:07:00,S006,1,0,0
R003_D0_T06,06:13:00,06:15:00,S001,2,0,0
R003_D0_T07,06:05:00,06:07:00,S006,1,0,0
R003_D0_T07,06:13:00,06:15:00,S001,2,0,0
R003_D0_T08,06:05:00,06:07:00,S006,1,0,0
R003_D0_T08,06:13:00,06:15:00,S001,2,0,0
R003_D0_T09,06:05:00,06:07:00,S006,1,0,0
R003_D0_T09,06:13:00,06:15:00,S001,2,0,0
R003_D0_T10,06:05:00,06:07:00,S006,1,0,0
R003_D0_T10,06:13:00,06:15:00,S001,2,0,0
R003_D0_T11,06:05:00,06:07:00,S006,1,0,0
R003_D0_T11,06:13:00,06:15:00,S001,2,0,0
R003_D0_T12,06:05:00,06:07:00,S006,1,0,0
R003_D0_T12,06:13:00,06:15:00,S001,2,0,0
R003_D0_T13,06:05:00,06:07:00,S006,1,0,0
R003_D0_T13,06:13:00,06:15:00,S001,2,0,0
R003_D0_T14,06:05:00,06:07:00,S006,1,0,0
R003_D0_T14,06:13:00,06:15:00,S001,2,0,0
R003_D0_T15,06:05:00,06:07:00,S006,1,0,0
R003_D0_T15,06:13:00,06:15:00,S001,2,0,0
R003_D0_T16,06:05:00,06:07:00,S006,1,0,0
R003_D0_T16,06:13:00,06:15:00,S001,2,0,0
R003_D0_T17,06:05:00,06:07:00,S006,1,0,0
R003_D0_T17,06:13:00,06:15:00,S001,2,0,0
R003_D0_T18,06:05:00,06:07:00,S006,1,0,0
R003_D0_T18,06:13:00,06:15:00,S001,2,0,0
R003_D0_T19,06:05:00,06:07:00,S006,1,0,0
R003_D0_T19,06:13:00,06:15:00,S001,2,0,0
R003_D0_T20,06:05:00,06:07:00,S006,1,0,0
R003_D0_T20,06:13:00,06:15:00,S001,2,0,0
R003_D1_T01,06:05:00,06:07:00,S006,1,0,0
R003_D1_T01,06:13:00,06:15:00,S001,2,0,0
R003_D1_T02,06:05:00,06:07:00,S006,1,0,0
R003_D1_T02,06:13:00,06:15:00,S001,2,0,0
R003_D1_T03,06:05:00,06:07:00,S006,1,0,0
R003_D1_T03,06:13:00,06:15:00,S001,2,0,0
R003_D1_T04,06:05:00,06:07:00,S006,1,0,0
R003_D1_T04,06:13:00,06:15:00,S001,2,0,0
R003_D1_T05,06:05:00,06:07:00,S006,1,0,0
R003_D1_T05,06:13:00,06:15:00,S001,2,0,0
R003_D1_T06,06:05:00,06:07:00,S006,1,0,0
R003_D1_T06,06:13:00,06:15:00,S001,2,0,0
R003_D1_T07,06:05:00,06:07:00,S006,1,0,0
R003_D1_T07,06:13:00,06:15:00,S001,2,0,0
R003_D1_T08,06:05:00,06:07:00,S006,1,0,0
R003_D1_T08,06:13:00,06:15:00,S001,2,0,0
R003_D1_T09,06:05:00,06:07:00,S006,1,0,0
R003_D1_T09,06:13:00,06:15:00,S001,2,0,0
R003_D1_T10,06:05:00,06:07:00,S006,1,0,0
R003_D1_T10,06:13:00,06:15:00,S001,2,0,0
R003_D1_T11,06:05:00,06:07:00,S006,1,0,0
R003_D1_T11,06:13:00,06:15:00,S001,2,0,0
R003_D1_T12,06:05:00,06:07:00,S006,1,0,0
R003_D1_T12,06:13:00,06:15:00,S001,2,0,0
R003_D1_T13,06:05:00,06:07:00,S006,1,0,0
R003_D1_T13,06:13:00,06:15:00,S001,2,0,0
R003_D1_T14,06:05:00,06:07:00,S006,1,0,0
R003_D1_T14,06:13:00,06:15:00,S001,2,0,0
R003_D1_T15,06:05:00,06:07:00,S006,1,0,0
R003_D1_T15,06:13:00,06:15:00,S001,2,0,0
R003_D1_T16,06:05:00,06:07:00,S006,1,0,0
R003_D1_T16,06:13:00,06:15:00,S001,2,0,0
R003_D1_T17,06:05:00,06:07:00,S006,1,0,0
R003_D1_T17,06:13:00,06:15:00,S001,2,0,0
R003_D1_T18,06:05:00,06:07:00,S006,1,0,0
R003_D1_T18,06:13:00,06:15:00,S001,2,0,0
R003_D1_T19,06:05:00,06:07:00,S006,1,0,0
R003_D1_T19,06:13:00,06:15:00,S001,2,0,0
R003_D1_T20,06:05:00,06:07:00,S006,1,0,0
R003_D1_T20,06:13:00,06:15:00,S001,2,0,0
R004_D0_T01,06:05:00,06:07:00,S007,1,0,0
R004_D0_T01,06:13:00,06:15:00,S001,2,0,0
R004_D0_T02,06:05:00,06:07:00,S007,1,0,0
R004_D0_T02,06:13:00,06:15:00,S001,2,0,0
R004_D0_T03,06:05:00,06:07:00,S007,1,0,0
R004_D0_T03,06:13:00,06:15:00,S001,2,0,0
R004_D0_T04,06:05:00,06:07:00,S007,1,0,0
R004_D0_T04,06:13:00,06:15:00,S001,2,0,0
R004_D0_T05,06:05:00,06:07:00,S007,1,0,0
R004_D0_T05,06:13:00,06:15:00,S001,2,0,0
R004_D0_T06,06:05:00,06:07:00,S007,1,0,0
R004_D0_T06,06:13:00,06:15:00,S001,2,0,0
R004_D0_T07,06:05:00,06:07:00,S007,1,0,0
R004_D0_T07,06:13:00,06:15:00,S001,2,0,0
R004_D0_T08,06:05:00,06:07:00,S007,1,0,0
R004_D0_T08,06:13:00,06:15:00,S001,2,0,0
R004_D0_T09,06:05:00,06:07:00,S007,1,0,0
R004_D0_T09,06:13:00,06:15:00,S001,2,0,0
R004_D0_T10,06:05:00,06:07:00,S007,1,0,0
R004_D0_T10,06:13:00,06:15:00,S001,2,0,0
R004_D0_T11,06:05:00,06:07:00,S007,1,0,0
R004_D0_T11,06:13:00,06:15:00,S001,2,0,0
R004_D0_T12,06:05:00,06:07:00,S007,1,0,0
R004_D0_T12,06:13:00,06:15:00,S001,2,0,0
R004_D0_T13,06:05:00,06:07:00,S007,1,0,0
R004_D0_T13,06:13:00,06:15:00,S001,2,0,0
R004_D0_T14,06:05:00,06:07:00,S007,1,0,0
R004_D0_T14,06:13:00,06:15:00,S001,2,0,0
R004_D0_T15,06:05:00,06:07:00,S007,1,0,0
R004_D0_T15,06:13:00,06:15:00,S001,2,0,0
R004_D0_T16,06:05:00,06:07:00,S007,1,0,0
R004_D0_T16,06:13:00,06:15:00,S001,2,0,0
R004_D0_T17,06:05:00,06:07:00,S007,1,0,0
R004_D0_T17,06:13:00,06:15:00,S001,2,0,0
R004_D0_T18,06:05:00,06:07:00,S007,1,0,0
R004_D0_T18,06:13:00,06:15:00,S001,2,0,0
R004_D0_T19,06:05:00,06:07:00,S007,1,0,0
R004_D0_T19,06:13:00,06:15:00,S001,2,0,0
R004_D0_T20,06:05:00,06:07:00,S007,1,0,0
R004_D0_T20,06:13:00,06:15:00,S001,2,0,0
R004_D1_T01,06:05:00,06:07:00,S007,1,0,0
R004_D1_T01,06:13:00,06:15:00,S001,2,0,0
R004_D1_T02,06:05:00,06:07:00,S007,1,0,0
R004_D1_T02,06:13:00,06:15:00,S001,2,0,0
R004_D1_T03,06:05:00,06:07:00,S007,1,0,0
R004_D1_T03,06:13:00,06:15:00,S001,2,0,0
R004_D1_T04,06:05:00,06:07:00,S007,1,0,0
R004_D1_T04,06:13:00,06:15:00,S001,2,0,0
R004_D1_T05,06:05:00,06:07:00,S007,1,0,0
R004_D1_T05,06:13:00,06:15:00,S001,2,0,0
R004_D1_T06,06:05:00,06:07:00,S007,1,0,0
R004_D1_T06,06:13:00,06:15:00,S001,2,0,0
R004_D1_T07,06:05:00,06:07:00,S007,1,0,0
R004_D1_T07,06:13:00,06:15:00,S001,2,0,0
R004_D1_T08,06:05:00,06:07:00,S007,1,0,0
R004_D1_T08,06:13:00,06:15:00,S001,2,0,0
R004_D1_T09,06:05:00,06:07:00,S007,1,0,0
R004_D1_T09,06:13:00,06:15:00,S001,2,0,0
R004_D1_T10,06:05:00,06:07:00,S007,1,0,0
R004_D1_T10,06:13:00,06:15:00,S001,2,0,0
R004_D1_T11,06:05:00,06:07:00,S007,1,0,0
R004_D1_T11,06:13:00,06:15:00,S001,2,0,0
R004_D1_T12,06:05:00,06:07:00,S007,1,0,0
R004_D1_T12,06:13:00,06:15:00,S001,2,0,0
R004_D1_T13,06:05:00,06:07:00,S007,1,0,0
R004_D1_T13,06:13:00,06:15:00,S001,2,0,0
R004_D1_T14,06:05:00,06:07:00,S007,1,0,0
R004_D1_T14,06:13:00,06:15:00,S001,2,0,0
R004_D1_T15,06:05:00,06:07:00,S007,1,0,0
R004_D1_T15,06:13:00,06:15:00,S001,2,0,0
R004_D1_T16,06:05:00,06:07:00,S007,1,0,0
R004_D1_T16,06:13:00,06:15:00,S001,2,0,0
R004_D1_T17,06:05:00,06:07:00,S007,1,0,0
R004_D1_T17,06:13:00,06:15:00,S001,2,0,0
R004_D1_T18,06:05:00,06:07:00,S007,1,0,0
R004_D1_T18,06:13:00,06:15:00,S001,2,0,0
R004_D1_T19,06:05:00,06:07:00,S007,1,0,0
R004_D1_T19,06:13:00,06:15:00,S001,2,0,0
R004_D1_T20,06:05:00,06:07:00,S007,1,0,0
R004_D1_T20,06:13:00,06:15:00,S001,2,0,0
R005_D0_T01,06:05:00,06:07:00,S008,1,0,0
R005_D0_T01,06:13:00,06:15:00,S009,2,0,0
R005_D0_T02,06:05:00,06:07:00,S008,1,0,0
R005_D0_T02,06:13:00,06:15:00,S009,2,0,0
R005_D0_T03,06:05:00,06:07:00,S008,1,0,0
R005_D0_T03,06:13:00,06:15:00,S009,2,0,0
R005_D0_T04,06:05:00,06:07:00,S008,1,0,0
R005_D0_T04,06:13:00,06:15:00,S009,2,0,0
R005_D0_T05,06:05:00,06:07:00,S008,1,0,0
R005_D0_T05,06:13:00,06:15:00,S009,2,0,0
R005_D0_T06,06:05:00,06:07:00,S008,1,0,0
R005_D0_T06,06:13:00,06:15:00,S009,2,0,0
R005_D0_T07,06:05:00,06:07:00,S008,1,0,0
R005_D0_T07,06:13:00,06:15:00,S009,2,0,0
R005_D0_T08,06:05:00,06:07:00,S008,1,0,0
R005_D0_T08,06:13:00,06:15:00,S009,2,0,0
R005_D0_T09,06:05:00,06:07:00,S008,1,0,0
R005_D0_T09,06:13:00,06:15:00,S009,2,0,0
R005_D0_T10,06:05:00,06:07:00,S008,1,0,0
R005_D0_T10,06:13:00,06:15:00,S009,2,0,0
R005_D0_T11,06:05:00,06:07:00,S008,1,0,0
R005_D0_T11,06:13:00,06:15:00,S009,2,0,0
R005_D0_T12,06:05:00,06:07:00,S008,1,0,0
R005_D0_T12,06:13:00,06:15:00,S009,2,0,0
R005_D0_T13,06:05:00,06:07:00,S008,1,0,0
R005_D0_T13,06:13:00,06:15:00,S009,2,0,0
R005_D0_T14,06:05:00,06:07:00,S008,1,0,0
R005_D0_T14,06:13:00,06:15:00,S009,2,0,0
R005_D0_T15,06:05:00,06:07:00,S008,1,0,0
R005_D0_T15,06:13:00,06:15:00,S009,2,0,0
R005_D0_T16,06:05:00,06:07:00,S008,1,0,0
R005_D0_T16,06:13:00,06:15:00,S009,2,0,0
R005_D0_T17,06:05:00,06:07:00,S008,1,0,0
R005_D0_T17,06:13:00,06:15:00,S009,2,0,0
R005_D0_T18,06:05:00,06:07:00,S008,1,0,0
R005_D0_T18,06:13:00,06:15:00,S009,2,0,0
R005_D0_T19,06:05:00,06:07:00,S008,1,0,0
R005_D0_T19,06:13:00,06:15:00,S009,2,0,0
R005_D0_T20,06:05:00,06:07:00,S008,1,0,0
R005_D0_T20,06:13:00,06:15:00,S009,2,0,0
R005_D1_T01,06:05:00,06:07:00,S008,1,0,0
R005_D1_T01,06:13:00,06:15:00,S009,2,0,0
R005_D1_T02,06:05:00,06:07:00,S008,1,0,0
R005_D1_T02,06:13:00,06:15:00,S009,2,0,0
R005_D1_T03,06:05:00,06:07:00,S008,1,0,0
R005_D1_T03,06:13:00,06:15:00,S009,2,0,0
R005_D1_T04,06:05:00,06:07:00,S008,1,0,0
R005_D1_T04,06:13:00,06:15:00,S009,2,0,0
R005_D1_T05,06:05:00,06:07:00,S008,1,0,0
R005_D1_T05,06:13:00,06:15:00,S009,2,0,0
R005_D1_T06,06:05:00,06:07:00,S008,1,0,0
R005_D1_T06,06:13:00,06:15:00,S009,2,0,0
R005_D1_T07,06:05:00,06:07:00,S008,1,0,0
R005_D1_T07,06:13:00,06:15:00,S009,2,0,0
R005_D1_T08,06:05:00,06:07:00,S008,1,0,0
R005_D1_T08,06:13:00,06:15:00,S009,2,0,0
R005_D1_T09,06:05:00,06:07:00,S008,1,0,0
R005_D1_T09,06:13:00,06:15:00,S009,2,0,0
R005_D1_T10,06:05:00,06:07:00,S008,1,0,0
R005_D1_T10,06:13:00,06:15:00,S009,2,0,0
R005_D1_T11,06:05:00,06:07:00,S008,1,0,0
R005_D1_T11,06:13:00,06:15:00,S009,2,0,0
R005_D1_T12,06:05:00,06:07:00,S008,1,0,0
R005_D1_T12,06:13:00,06:15:00,S009,2,0,0
R005_D1_T13,06:05:00,06:07:00,S008,1,0,0
R005_D1_T13,06:13:00,06:15:00,S009,2,0,0
R005_D1_T14,06:05:00,06:07:00,S008,1,0,0
R005_D1_T14,06:13:00,06:15:00,S009,2,0,0
R005_D1_T15,06:05:00,06:07:00,S008,1,0,0
R005_D1_T15,06:13:00,06:15:00,S009,2,0,0
R005_D1_T16,06:05:00,06:07:00,S008,1,0,0
R005_D1_T16,06:13:00,06:15:00,S009,2,0,0
R005_D1_T17,06:05:00,06:07:00,S008,1,0,0
R005_D1_T17,06:13:00,06:15:00,S009,2,0,0
R005_D1_T18,06:05:00,06:07:00,S008,1,0,0
R005_D1_T18,06:13:00,06:15:00,S009,2,0,0
R005_D1_T19,06:05:00,06:07:00,S008,1,0,0
R005_D1_T19,06:13:00,06:15:00,S009,2,0,0
R005_D1_T20,06:05:00,06:07:00,S008,1,0,0
R005_D1_T20,06:13:00,06:15:00,S009,2,0,0
R006_D0_T01,06:05:00,06:07:00,S001,1,0,0
R006_D0_T01,06:13:00,06:15:00,S008,2,0,0
R006_D0_T01,06:21:00,06:23:00,S004,3,0,0
R006_D0_T02,06:05:00,06:07:00,S001,1,0,0
R006_D0_T02,06:13:00,06:15:00,S008,2,0,0
R006_D0_T02,06:21:00,06:23:00,S004,3,0,0
R006_D0_T03,06:05:00,06:07:00,S001,1,0,0
R006_D0_T03,06:13:00,06:15:00,S008,2,0,0
R006_D0_T03,06:21:00,06:23:00,S004,3,0,0
R006_D0_T04,06:05:00,06:07:00,S001,1,0,0
R006_D0_T04,06:13:00,06:15:00,S008,2,0,0
R006_D0_T04,06:21:00,06:23:00,S004,3,0,0
R006_D0_T05,06:05:00,06:07:00,S001,1,0,0
R006_D0_T05,06:13:00,06:15:00,S008,2,0,0
R006_D0_T05,06:21:00,06:23:00,S004,3,0,0
R006_D0_T06,06:05:00,06:07:00,S001,1,0,0
R006_D0_T06,06:13:00,06:15:00,S008,2,0,0
R006_D0_T06,06:21:00,06:23:00,S004,3,0,0
R006_D0_T07,06:05:00,06:07:00,S001,1,0,0
R006_D0_T07,06:13:00,06:15:00,S008,2,0,0
R006_D0_T07,06:21:00,06:23:00,S004,3,0,0
R006_D0_T08,06:05:00,06:07:00,S001,1,0,0
R006_D0_T08,06:13:00,06:15:00,S008,2,0,0
